star_id,y_star,score_max,score_top10mean,score_median_top10
EPIC_212097121,0,0.5803157,0.5646787285804749,0.5655701756477356
EPIC_212097305,0,0.5870491,0.5604521036148071,0.5604623556137085
EPIC_212097340,0,0.6610646,0.6120790243148804,0.5920989513397217
EPIC_212097357,0,0.6449462,0.5090526938438416,0.45792657136917114
EPIC_212097405,1,0.47478205,0.3458881974220276,0.3303961157798767
EPIC_212097454,0,0.6204862,0.5985869765281677,0.5970308184623718
EPIC_212097567,0,0.6215652,0.5828713178634644,0.5730468034744263
EPIC_212097609,0,0.5683415,0.5615074038505554,0.5629085898399353
EPIC_212097614,0,0.6099019,0.588410496711731,0.5895528197288513
EPIC_212097731,0,0.60193443,0.5685106515884399,0.5724442005157471
EPIC_212097774,0,0.57166475,0.5481017827987671,0.545772910118103
EPIC_212097782,0,0.6096978,0.5827742218971252,0.5875373482704163
EPIC_212097797,1,0.5800816,0.5516560673713684,0.5465977191925049
EPIC_212097800,0,0.5869912,0.5707317590713501,0.5734009742736816
EPIC_212097819,0,0.57343566,0.5506207346916199,0.5494869351387024
EPIC_212097868,0,0.5728899,0.560591459274292,0.5598870515823364
EPIC_212097875,0,0.59880817,0.5676199197769165,0.5631276965141296
EPIC_212097880,0,0.57865655,0.5646108388900757,0.5650113821029663
EPIC_212097885,0,0.581149,0.5557591319084167,0.5520466566085815
EPIC_212097968,1,0.630757,0.6047195196151733,0.6093827486038208
EPIC_212097972,0,0.5831964,0.5144559741020203,0.5050479769706726
EPIC_212097988,1,0.610813,0.6000486612319946,0.6012948751449585
EPIC_212097999,0,0.64436316,0.5975366830825806,0.582959771156311
EPIC_212098045,0,0.5524201,0.5506671667098999,0.5509381890296936
EPIC_212098070,0,0.5746738,0.5503376722335815,0.5587834119796753
EPIC_212098081,0,0.6189002,0.5810950994491577,0.5775186419487
EPIC_212098148,0,0.63413364,0.5990902185440063,0.5904158353805542
EPIC_212098170,1,0.547547,0.5403279066085815,0.539009690284729
EPIC_212098215,0,0.66218567,0.6158872246742249,0.6080526113510132
EPIC_212098245,0,0.58892334,0.553137481212616,0.5463333129882812
EPIC_212098344,1,0.5712668,0.5476203560829163,0.5590745806694031
EPIC_212098528,1,0.5747386,0.5434665083885193,0.5424114465713501
EPIC_212098637,0,0.64986944,0.5691689848899841,0.56712806224823
EPIC_212098640,0,0.6116357,0.5992640256881714,0.5979448556900024
EPIC_212098754,0,0.543231,0.5273561477661133,0.5287260413169861
EPIC_212098770,1,0.6017668,0.576373279094696,0.575015664100647
EPIC_212098783,0,0.53995687,0.534405529499054,0.5360462665557861
EPIC_212098830,0,0.63079715,0.5911882519721985,0.5820553302764893
EPIC_212098854,1,0.60167587,0.579857349395752,0.5835751891136169
EPIC_212098856,0,0.6376053,0.5925573706626892,0.5874285101890564
EPIC_212098973,0,0.5595181,0.5215145349502563,0.5165560245513916
EPIC_212098979,0,0.5801835,0.5587325692176819,0.5580710172653198
EPIC_212098986,0,0.57078564,0.5476757884025574,0.5472461581230164
EPIC_212099026,0,0.55262303,0.5466459393501282,0.5453206896781921
EPIC_212099091,0,0.5782615,0.5516163110733032,0.5509978532791138
EPIC_212099095,0,0.5930166,0.55354905128479,0.5627416372299194
EPIC_212099100,1,0.5606987,0.5430701375007629,0.5396108031272888
EPIC_212099103,0,0.5900352,0.5703096389770508,0.5655444860458374
EPIC_212099156,1,0.6292896,0.5811570286750793,0.580267071723938
EPIC_212099183,0,0.55527884,0.5196442604064941,0.5422772169113159
EPIC_212099220,0,0.609683,0.573741614818573,0.5698715448379517
EPIC_212099226,1,0.576215,0.5515509843826294,0.5522741675376892
EPIC_212099230,1,0.58833015,0.5750206708908081,0.5735321640968323
EPIC_212099281,0,0.55545145,0.5489801168441772,0.5492548942565918
EPIC_212099340,0,0.58910894,0.5777409672737122,0.5808502435684204
EPIC_212099398,0,0.6770792,0.5807489156723022,0.5543487668037415
EPIC_212099430,0,0.58388066,0.5665281414985657,0.5641893148422241
EPIC_212099456,0,0.56137836,0.543613612651825,0.5441597700119019
EPIC_212099502,1,0.55467236,0.5497606992721558,0.5501430034637451
EPIC_212099541,0,0.6057117,0.5715697407722473,0.5572291612625122
EPIC_212099634,0,0.5557519,0.47153791785240173,0.464810311794281
