review_batch,reviewed_at,reviewer,epic_id,source_packet,source_rank,manual_label,manual_label_family,training_eligibility,training_use_note,manual_reason,reason_status,manual_vetted,gatevetter_v0_2_prediction,gatevetter_v0_2_reason,gatevetter_score,candidate_survivor_score,cnn_score,primary_depth,primary_depth_snr,odd_even_depth_ratio,secondary_depth_snr,secondary_to_primary_depth_ratio,oot_to_depth,candidate_period_count,event_family_count,alias_risk,duration_fraction_of_period,best_period_days,transit_duration_hours,period_source,period_ambiguity_flag,period_comparison_status,trusted_period_validation,metric_trust_level,stage_g_action,primary_gate,hard_gate_fired,hard_gates_fired,hold_gates_fired,risk_gates_fired,penalties_or_missing_evidence,rule_trace,score_components,phase_0_folded_path,validation_summary_json_path,notes
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211402632,top_20_holds,1,variable_or_possible_eb,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Broad deep folded morphology and raw variability are EB/variable-like rather than a clean planet hold.,complete_codex_visual_review,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.599665,0.6050750017166138,0.02984841782903691,4.542028345989811,0.9584079345541394,0.05929209379767499,0.029536312021578796,0.46468731876320896,15,15,low,0.042781,1.91037,1.9614712165785,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.30,false,none,gate4_oot_to_depth_ge_0.30,none,gate2_fallback_period_context,Gate 4 hold: OOT variability >= 30% of depth,cnn_morphology:0.272284|primary_depth_snr:0.127381|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_12/top_20_holds/EPIC_211402632/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/top_20_holds/EPIC_211402632/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211683861,top_20_holds,2,variable_or_possible_eb,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Strong raw variability and broad deep phase structure dominate; not a candidate-like transit recovery.,complete_codex_visual_review,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.55,0.619361,0.6449044942855835,0.0028665781845889082,5.6330380634085016,0.9745932371135368,1.0043597080507418,0.20803322590566833,0.46757966104165694,13,23,moderate,0.013762,4.4541,1.471104610827751,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.30,false,none,gate4_oot_to_depth_ge_0.30,none,gate2_fallback_period_context,Gate 4 hold: OOT variability >= 30% of depth,cnn_morphology:0.290207|primary_depth_snr:0.129154|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_12/top_20_holds/EPIC_211683861/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/top_20_holds/EPIC_211683861/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211793748,top_20_holds,3,variable_or_possible_eb,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Broad deep variable-like morphology with ambiguous period support; keep out of candidate queue.,complete_codex_visual_review,true,excluded_uncertain_hold,incomplete_or_uncertain_candidate_evidence,0.509994,0.509994,0.6676928400993347,0.009783582319165984,5.865928767497514,,-0.48459892961553014,-0.19607893121964062,,18,15,period_ambiguous,0.025641,1.59368,0.9807268491131231,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate6_conservative_hold,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.300462|primary_depth_snr:0.129532|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_12/top_20_holds/EPIC_211793748/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/top_20_holds/EPIC_211793748/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211678611,top_20_holds,4,variable_or_possible_eb,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Broad/deep folded structure and variable context are more consistent with EB or stellar variability than a clean transit.,complete_codex_visual_review,true,excluded_uncertain_hold,gate_blocked_candidate_hold,0.469342,0.469342,0.5096492767333984,0.0075649814430536755,2.8846740626214227,0.996996109174938,-2.0054870888366043,-0.7652124262147885,0.5662383937971701,16,14,low,0.093334,1.53237,3.432516803528414,refreshed_period_search,False,trusted_refreshed_period,true,trusted_period_dependent,no_gatevetter_stage_g_action,gate4_oot_to_depth_ge_0.50,false,none,gate4_oot_to_depth_ge_0.50,none,gate2_fallback_period_context|weak_primary_depth_snr,Gate 4 hold/reject block: OOT variability >= 50% of depth,cnn_morphology:0.229342|primary_depth_snr:0.04|odd_even_support:0.12|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_12/top_20_holds/EPIC_211678611/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/top_20_holds/EPIC_211678611/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211313403,reject_sanity_high_cnn_high_snr,1,false_positive_eb_or_variable,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Very broad periodic EB/variable-like folded morphology; reject sanity does not reveal a planet-like miss.,complete_codex_visual_review,true,false_positive_eb_or_variable,eb_or_variable_gate,0.0,0.0,0.8608989715576172,0.009910445873591578,1.5238388552217814,,0.35957830831221776,0.3052307723040179,,23,6,period_ambiguous,0.063492,0.64361,0.9807433405076137,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate3_eb_or_variable_risk,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211313403/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211313403/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211936869,reject_sanity_high_cnn_high_snr,2,false_positive_eb_or_variable,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Broad V-shaped folded structure and variable raw context indicate an EB/variable false positive.,complete_codex_visual_review,true,false_positive_eb_or_variable,eb_or_variable_gate,0.0,0.0,0.808516263961792,0.0009249201481911218,1.755572824724323,,1.8047402740626526,1.0333424562683562,,27,7,period_ambiguous,0.011718,1.743622554413584,0.49036169360624404,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate3_eb_or_variable_risk,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211936869/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211936869/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211887839,reject_sanity_high_cnn_high_snr,3,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,High-CNN packet is essentially flat/noisy after folding with no reliable event-stack transit family.,complete_codex_visual_review,true,false_positive_eb_or_variable,eb_or_variable_gate,0.0,0.0,0.9309815168380737,6.18130517399118e-05,0.5201249085144776,,0.879420879699741,1.685703634339733,,31,4,period_ambiguous,0.000783,26.084646320338642,0.4903609477041744,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate3_eb_or_variable_risk,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211887839/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211887839/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211412628,reject_sanity_high_cnn_high_snr,4,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Weak noisy ambiguous dip with low SNR and no convincing repeatable transit support.,complete_codex_visual_review,true,false_positive_eb_or_variable,eb_or_variable_gate,0.0,0.0,0.7891924381256104,0.00035727742462904333,0.7078479354334897,,0.23137086900707365,0.3270761434910713,,31,4,period_ambiguous,0.015797,2.586866085009122,0.9807232255116095,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate3_eb_or_variable_risk,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211412628/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211412628/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211509129,reject_sanity_high_cnn_high_snr,5,reject_as_noise_or_artifact,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Noisy low-SNR packet with ambiguous folded structure; no missed candidate-like signal.,complete_codex_visual_review,true,false_positive_eb_or_variable,eb_or_variable_gate,0.0,0.0,0.7751744985580444,0.0004239705762629775,0.8113686322913702,,0.7140253082487711,0.8576207977930422,,31,4,period_ambiguous,0.007233,8.47412,1.4710872548748732,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate3_eb_or_variable_risk,true,gate3_eb_or_variable_risk,none,none,gate2_fallback_period_context,"Gate 3 route: EB/variable risk; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",none,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211509129/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211509129/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
gatevetter_v0_2_batch_12_manual_review,2026-06-23,codex_visual_review,EPIC_211891774,reject_sanity_high_cnn_high_snr,6,false_positive_eb_or_variable,negative,possible_future_training_example,Clear negative or EB/variable false positive; possible future training example.,Broad sinusoidal phase modulation and period ambiguity are variable-like rather than planet-like.,complete_codex_visual_review,true,negative_noise_or_artifact,weak_or_incomplete_signal_after_gates,0.35,0.508444,0.8632087707519531,0.005377997824135949,1.6849717667282282,,-0.09498908575960573,-0.07570207063911061,,25,5,period_ambiguous,0.03439,1.1882438344547652,0.9807252341997792,period_ambiguous,True,no_automatic_period_selection,false,untrusted_period_dependent,no_gatevetter_stage_g_action,gate6_weak_or_incomplete_signal,false,none,none,none,gate2_fallback_period_context|gate4_oot_to_depth_missing|weak_primary_depth_snr|missing_odd_even_depth_ratio|missing_oot_to_depth,"Gates 1-5 passed; candidate survivor scoring applied; Gate v0.2 Stage G block: period or alias diagnostics are period-ambiguous; Gate v0.2 Stage G block: trusted period validation unavailable; Gate v0.2 Stage G block: missing diagnostics are not passes (odd_even_depth_ratio,oot_to_depth)",cnn_morphology:0.388444|primary_depth_snr:0.04|odd_even_support:0.0|oot_cleanliness:0.0|duration_sanity:0.08,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211891774/folded_light_curve_best_period.png,plots/k2_batch/gatevetter_v0_2_batch_12/reject_sanity_high_cnn_high_snr/EPIC_211891774/validation_summary.json,GateVetter v0.2 unchanged; CNN not retrained; visual review logged after batch prediction.
