epic_id,period_role,period_days,cluster_center_phase,event_support_count,event_family_count,primary_depth,primary_depth_snr,duration_days,odd_depth_median,even_depth_median,odd_even_depth_ratio,odd_even_assessment,oot_to_depth,secondary_depth,secondary_depth_snr,secondary_to_primary_depth_ratio,secondary_assessment,alias_risk,event_stack_coherence_score,event_stack_coherence,event_timing_rms_phase,event_epoch_coverage,event_depth_mad_fraction,local_baseline_stability,local_baseline_event_count,median_abs_baseline_slope_per_day,median_abs_left_right_offset,both_sidebands_fraction,baseline_slope_depth_fraction,baseline_offset_depth_fraction
EPIC_211624954,P/2,0.769605,0.8428043600862459,11,13,0.0003514301540937792,2.796117867551808,0.0817279337134095,0.000494042266347,0.0005516941738875,0.8955002422188778,consistent,0.63667791115947,-0.00021034976572731345,-0.7625518300050946,-0.5985535483423018,no_strong_secondary,moderate,0.5362559481872652,weak,0.01157119828009257,0.1368421052631579,0.1427459200643346,stable,85,0.00026298536725377863,2.5678829895592907e-05,0.9882352941176471,0.11413283388395953,0.13635897486273604
EPIC_211624954,P,1.53921,0.9177624401232347,12,16,0.0005248625491431347,4.758680827173873,0.08172766962525195,0.0005516941738875,0.00056009874618595,0.9849944811416169,consistent,0.2679599086531153,-0.00014223770787158418,-0.5178397710137687,-0.27099991817628183,no_strong_secondary,low,0.5808327674290603,moderate,0.01287291738587971,0.3333333333333333,0.11643761902764509,stable,39,0.00030958753908336367,2.7523208547380374e-05,1.0,0.08727072176214751,0.09493252689047356
EPIC_211624954,2P,3.07842,0.4584749083166576,11,14,0.0004361114056600779,2.7580730774328384,0.10215859876916505,0.0005425404745318,0.0006089318189043,0.890970807713804,consistent,0.387568741669234,0.00041711177293007884,2.5696345505116964,0.9564339925913149,concerning,moderate,0.6338831034654905,moderate,0.01323315459604083,0.5454545454545454,0.1428881835970783,stable,25,0.00022019178429304772,3.3573322162059276e-05,1.0,0.0587326987946478,0.08765934819706142
EPIC_211687388,P/2,6.03553,0.9742631478697162,6,9,8.47485757535793e-05,1.9515232146497958,0.0408632096659857,,,,concerning_or_incomplete,0.0945211449389381,0.0,0.0,0.0,no_strong_secondary,moderate,0.5658470800050035,moderate,0.01609165673191877,0.45454545454545453,0.13194752513131405,insufficient_events,0,,,0.0,,
EPIC_211687388,P,12.07106,0.9884868093052691,9,10,0.00035004065288668507,7.938532293634828,0.0306475668730854,0.0005949907517399,0.000430763281796025,0.7239831552614334,concerning_or_incomplete,0.1384341265086153,0.0,0.0,0.0,no_strong_secondary,low,0.7533959804665337,strong,0.010103273064926168,0.8333333333333334,0.21983901415006862,insufficient_events,0,,,0.0,,
EPIC_211687388,2P,24.14212,0.4930866096715672,6,6,0.00018897698060577062,3.66338410825128,0.020431923614523798,0.0005949907517399,0.000530984760954975,0.8924252341775806,consistent,0.3206105733855259,0.00024987846141233394,4.79064510626013,1.3222693082053807,concerning,high,0.93643487388941,strong,0.0033061298804729074,1.0,0.05920165250449005,insufficient_events,0,,,0.0,,
EPIC_211768304,P/2,4.924075,0.569570933429418,3,3,4.297245237538938e-06,0.13607075483491815,0.0408635169660556,,,,concerning_or_incomplete,4.9489788112360955,0.0,0.0,0.0,no_strong_secondary,high,0.7193248584154212,moderate,0.011897343677254134,0.6666666666666666,0.008939146051716867,insufficient_events,0,,,0.0,,
EPIC_211768304,P,9.84815,0.2928076474128904,5,6,0.00014470961880053146,4.948995371239028,0.0408633536972047,0.0002498452878235,0.0001903397594144,0.7618304954739153,concerning_or_incomplete,0.37910226258404306,0.0,0.0,0.0,no_strong_secondary,low,0.6505297963299048,moderate,0.01190106383249607,0.5714285714285714,0.20413925824241974,insufficient_events,0,,,0.0,,
EPIC_211768304,2P,19.6963,0.14889130585099405,5,5,9.515497082790425e-05,3.013048590697339,0.0408631904283538,0.0001538965552319,0.00022084572863655,0.6968509474103095,concerning_or_incomplete,0.7188719719416363,8.162065133932028e-05,2.5501673495069697,0.8577655022031174,concerning,moderate,0.781475021819119,strong,0.0057023739469177406,0.75,0.3020112410869753,insufficient_events,0,,,0.0,,
EPIC_211996306,P/2,0.790025,0.3287671106444868,6,7,0.00037976745410583934,1.6620565368047044,0.0408637401342275,,,,concerning_or_incomplete,1.004526314030763,-0.00035230746671754964,-1.0135836108081588,-0.9276926258650992,no_strong_secondary,moderate,0.43803396583453347,weak,0.015448411723801611,0.09090909090909091,0.2987862128795022,insufficient_events,0,,,0.0,,
EPIC_211996306,P,1.58005,0.17659903802776306,8,10,0.0006148032103132639,2.870019594635078,0.040863644615455955,0.001164197179047,0.0010464732468955,0.898879730796232,consistent,1.0496573492711998,9.417003765888055e-06,0.025313160032601464,0.015317102461273355,no_strong_secondary,low,0.5560885390135053,moderate,0.012078217454576613,0.2564102564102564,0.1885590791549479,insufficient_events,0,,,0.0,,
