star_id,y_star,score_max,score_top10mean
EPIC_212097121,0,0.24753009,0.208600714802742
EPIC_212097305,0,0.23341432,0.2117401659488678
EPIC_212097340,0,0.23200685,0.2178707867860794
EPIC_212097357,0,0.19696829,0.1743774563074112
EPIC_212097405,1,0.21780775,0.17339690029621124
EPIC_212097454,0,0.20298302,0.17445477843284607
EPIC_212097567,0,0.25922304,0.23537401854991913
EPIC_212097609,0,0.2359821,0.21445481479167938
EPIC_212097614,0,0.27152732,0.2407575398683548
EPIC_212097731,0,0.23631257,0.20227894186973572
EPIC_212097774,0,0.21835567,0.1987588256597519
EPIC_212097782,0,0.27604553,0.2092982828617096
EPIC_212097797,1,0.23822337,0.20559635758399963
EPIC_212097800,0,0.25038877,0.23373942077159882
EPIC_212097819,0,0.23256111,0.2075285017490387
EPIC_212097868,0,0.2358846,0.19678454101085663
EPIC_212097875,0,0.21572275,0.19037184119224548
EPIC_212097880,0,0.27868116,0.24435219168663025
EPIC_212097885,0,0.25148454,0.20803780853748322
EPIC_212097968,1,0.2957023,0.25747689604759216
EPIC_212097972,0,0.23652266,0.20164771378040314
EPIC_212097988,1,0.23951435,0.21963801980018616
EPIC_212097999,0,0.28017965,0.21276123821735382
EPIC_212098045,0,0.18989737,0.17872007191181183
EPIC_212098070,0,0.21048822,0.19649122655391693
EPIC_212098081,0,0.20862226,0.19424179196357727
EPIC_212098148,0,0.22269233,0.20179882645606995
EPIC_212098170,1,0.18508257,0.166450634598732
EPIC_212098215,0,0.23393023,0.2241804152727127
EPIC_212098245,0,0.19865946,0.1786552369594574
EPIC_212098344,1,0.20236577,0.16864123940467834
EPIC_212098528,1,0.25852224,0.19068674743175507
EPIC_212098637,0,0.23318325,0.2118309736251831
EPIC_212098640,0,0.23758368,0.21468091011047363
EPIC_212098754,0,0.21216995,0.18577110767364502
EPIC_212098770,1,0.24669234,0.21861585974693298
EPIC_212098783,0,0.18302669,0.16329750418663025
EPIC_212098830,0,0.26385015,0.23962676525115967
EPIC_212098854,1,0.25304666,0.21593959629535675
EPIC_212098856,0,0.21964554,0.19274957478046417
EPIC_212098973,0,0.22555622,0.20633502304553986
EPIC_212098979,0,0.21476652,0.1867200881242752
EPIC_212098986,0,0.23042856,0.2004832774400711
EPIC_212099026,0,0.19577913,0.17953775823116302
EPIC_212099091,0,0.23080984,0.207731693983078
EPIC_212099095,0,0.2542391,0.21604511141777039
EPIC_212099100,1,0.19601847,0.1613178253173828
EPIC_212099103,0,0.24235551,0.21956780552864075
EPIC_212099156,1,0.26679397,0.22981223464012146
EPIC_212099183,0,0.20544206,0.17917588353157043
EPIC_212099220,0,0.25709796,0.22654171288013458
EPIC_212099226,1,0.24643001,0.2067708671092987
EPIC_212099230,1,0.23075618,0.21280860900878906
EPIC_212099281,0,0.18552357,0.17019696533679962
EPIC_212099340,0,0.24668983,0.22579625248908997
EPIC_212099398,0,0.23699164,0.19679588079452515
EPIC_212099430,0,0.25623074,0.2395588457584381
EPIC_212099456,0,0.19958739,0.17752772569656372
EPIC_212099502,1,0.1980179,0.19218865036964417
EPIC_212099541,0,0.23786432,0.22220191359519958
EPIC_212099634,0,0.22543603,0.15784470736980438
EPIC_212099702,0,0.20831373,0.17902640998363495
EPIC_212099730,0,0.22327648,0.20394763350486755
EPIC_212099791,0,0.24529995,0.17250993847846985
EPIC_212099830,0,0.23535363,0.19533498585224152
EPIC_212099833,0,0.24998446,0.23941585421562195
EPIC_212099843,0,0.2355251,0.20461849868297577
EPIC_212099852,0,0.25614607,0.2273392230272293
EPIC_212099914,1,0.20118137,0.18099625408649445
EPIC_212099917,0,0.20878053,0.20009656250476837
EPIC_212099995,0,0.2081116,0.19226375222206116
EPIC_212100032,0,0.24999572,0.21444550156593323
EPIC_212100050,1,0.20459978,0.18304388225078583
EPIC_212100104,0,0.23777469,0.20944173634052277
EPIC_212100113,0,0.18875767,0.1714523434638977
EPIC_212100138,1,0.24996313,0.22242018580436707
EPIC_212100145,0,0.24370992,0.17795401811599731
EPIC_212100179,0,0.24920858,0.22633855044841766
EPIC_212100203,0,0.2281922,0.2032146006822586
EPIC_212100209,0,0.25517473,0.1845146268606186
EPIC_212100229,1,0.22719133,0.18840496242046356
EPIC_212100322,0,0.20427908,0.19292999804019928
EPIC_212100354,0,0.24733466,0.18668293952941895
EPIC_212100376,0,0.22737676,0.2108883559703827
EPIC_212100393,0,0.24491403,0.21089200675487518
EPIC_212100413,0,0.19882086,0.16072678565979004
EPIC_212100422,0,0.19774538,0.18532760441303253
EPIC_212100559,0,0.28426903,0.23013260960578918
EPIC_212100566,0,0.17340931,0.1274033784866333
EPIC_212100611,0,0.24958353,0.22856278717517853
EPIC_212100634,0,0.2592517,0.22159290313720703
EPIC_212100656,0,0.15090969,0.08087526261806488
EPIC_212100669,1,0.27781954,0.259630024433136
EPIC_212100683,0,0.23777387,0.2227775603532791
EPIC_212100734,1,0.23554663,0.21389690041542053
EPIC_212100803,0,0.2527201,0.21188148856163025
EPIC_212100816,1,0.24543968,0.19487601518630981
EPIC_212100921,0,0.26355734,0.24025194346904755
EPIC_212100958,1,0.27480528,0.24810722470283508
EPIC_212100988,0,0.25091806,0.2219182699918747
EPIC_212101116,1,0.25747073,0.21471433341503143
EPIC_212101119,0,0.2123675,0.19004322588443756
EPIC_212101135,0,0.2551402,0.2263881266117096
EPIC_212101149,0,0.23227574,0.2073260247707367
EPIC_212101208,0,0.23570834,0.201934814453125
EPIC_212101222,0,0.24741277,0.21888688206672668
EPIC_212101272,0,0.22989875,0.2175055295228958
EPIC_212101306,0,0.25139713,0.21123823523521423
EPIC_212101360,0,0.20123895,0.1739690601825714
EPIC_212101371,0,0.26274386,0.23048877716064453
EPIC_212101380,0,0.16170481,0.13686563074588776
EPIC_212101443,0,0.27843317,0.24244153499603271
EPIC_212101449,0,0.27286687,0.2397087812423706
EPIC_212101501,0,0.22507136,0.1927686631679535
EPIC_212101537,0,0.23378094,0.20754094421863556
EPIC_212101626,1,0.23480488,0.19643071293830872
EPIC_212101678,0,0.24094823,0.2181197702884674
EPIC_212101679,0,0.20763645,0.18472865223884583
EPIC_212101737,0,0.27211323,0.22963786125183105
EPIC_212101755,0,0.25014305,0.20430545508861542
EPIC_212101780,0,0.21706103,0.19118797779083252
EPIC_212101812,0,0.23795389,0.19821783900260925
EPIC_212101839,0,0.22287901,0.18737497925758362
EPIC_212101899,0,0.23631716,0.21657328307628632
EPIC_212101911,0,0.1955103,0.18011347949504852
EPIC_212102004,0,0.21087852,0.16684521734714508
EPIC_212102125,0,0.22257333,0.18680426478385925
EPIC_212102178,1,0.24412523,0.2222127616405487
EPIC_212102181,0,0.27573824,0.1837157905101776
EPIC_212102189,1,0.23165953,0.17781154811382294
EPIC_212102222,0,0.25650564,0.23663577437400818
EPIC_212102231,0,0.22292788,0.18899859488010406
EPIC_212102290,0,0.27549627,0.22386524081230164
EPIC_212102300,0,0.23962992,0.20507356524467468
EPIC_212102351,0,0.25748125,0.21215228736400604
EPIC_212102421,0,0.24812528,0.21100910007953644
EPIC_212102471,0,0.23356618,0.20328176021575928
EPIC_212102543,0,0.24280798,0.19266746938228607
EPIC_212102565,0,0.26446345,0.18786177039146423
EPIC_212102571,0,0.23900375,0.20848393440246582
EPIC_212102583,0,0.22717065,0.21276795864105225
EPIC_212102649,0,0.19043966,0.1778797060251236
EPIC_212102654,1,0.20822187,0.18498358130455017
EPIC_212102753,0,0.24966055,0.21920159459114075
EPIC_212102895,0,0.18674383,0.164383202791214
EPIC_212102920,0,0.2465806,0.2042131870985031
EPIC_212102947,0,0.21261403,0.19040802121162415
EPIC_212102952,0,0.16488622,0.14186818897724152
EPIC_212102971,0,0.23595434,0.2019248753786087
EPIC_212103007,0,0.20920284,0.17868050932884216
EPIC_212103013,0,0.2640177,0.24030661582946777
EPIC_212103027,0,0.21137194,0.18056181073188782
EPIC_212103049,0,0.23595493,0.20655708014965057
EPIC_212103050,0,0.21646763,0.20050379633903503
EPIC_212103052,0,0.25797614,0.18863967061042786
EPIC_212103082,0,0.22586156,0.19632655382156372
EPIC_212103088,0,0.26570225,0.23954987525939941
EPIC_212103116,0,0.20427868,0.18219763040542603
EPIC_212103128,0,0.21119137,0.1939559429883957
EPIC_212103184,0,0.23470187,0.2095310240983963
EPIC_212103185,0,0.2739966,0.2342623919248581
EPIC_212103194,0,0.25746492,0.21836796402931213
EPIC_212103211,0,0.23623773,0.18724384903907776
EPIC_212103246,0,0.23885603,0.21601863205432892
EPIC_212103439,0,0.2397019,0.2039378583431244
EPIC_212103499,1,0.22091569,0.20399996638298035
EPIC_212103507,0,0.2776806,0.23946323990821838
