epic_id,training_label_v2,training_label_rule,final_candidate_status,review_bin,source_batch,best_period_days,stage_f_label,stage_h_label,visual_label,reviewer,reviewed_at
EPIC_211534076,candidate_like,final_candidate_status:recovered_known_unconfirmed_candidate,recovered_known_unconfirmed_candidate,recovered_positive_control,positive_controls,15.221580048255191,stage_f_planet_like,known_unconfirmed_candidate,,,
EPIC_211889692,planet_like,final_candidate_status:recovered_known_confirmed_planet,recovered_known_confirmed_planet,recovered_positive_control,positive_controls,17.673423499920546,stage_f_planet_like,known_confirmed_planet,,,
EPIC_211490307,noise_or_artifact,review_bin/manual_status:manual_false_positive_*,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,12.80064960272307,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211525754,noise_or_artifact,review_bin/manual_status:manual_false_positive_*,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,13.198848621046864,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211551640,noise_or_artifact,review_bin/manual_status:manual_false_positive_*,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,10.563287809098483,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211554121,noise_or_artifact,review_bin/manual_status:manual_false_positive_*,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,14.057024791287404,stage_f_hold,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211555255,noise_or_artifact,review_bin/manual_status:manual_false_positive_*,reject_manual_false_positive,manual_false_positive_noise_or_variability,stage_f_next10_batch1,9.929781530910986,stage_f_planet_like,,visual_reject_noise_or_variability,OC,2026-04-30
EPIC_211563576,noise_or_artifact,review_bin/manual_status:manual_false_positive_*,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,17.142289455598302,stage_f_hold,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211739276,noise_or_artifact,review_bin/manual_status:manual_false_positive_*,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,19.164904292916617,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211842439,uncertain_hold,final_candidate_status:hold_*,hold_low_priority_candidate,low_priority_candidate_hold,stage_f_next10_batch1,15.93678195803659,stage_f_planet_like,,visual_possible_candidate_low_priority,OC,2026-04-30
EPIC_211972200,binary_system,final_candidate_status:reject_as_planet_binary_system,reject_as_planet_binary_system,real_nonplanet_eclipsing_binary,stage_f_next10_batch1,18.91986675386579,stage_f_planet_like,,visual_reject_eclipsing_binary,OC,2026-04-30
EPIC_212003686,noise_or_artifact,review_bin/manual_status:manual_false_positive_*,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,12.44296006046352,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211520800,uncertain_hold,status_or_review_bin:deprioritized_hold,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,15.569002305841424,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211748059,uncertain_hold,status_or_review_bin:hold,secondary_hold,secondary_hold,stage_f_next10_batch2_manual_review,17.42822978276672,stage_f_planet_like,,visual_secondary_hold,OC,2026-04-30
EPIC_211813858,uncertain_hold,status_or_review_bin:deprioritized_hold,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,14.53720362356762,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211878672,uncertain_hold,status_or_review_bin:deprioritized_hold,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,10.716529819124844,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211887206,uncertain_hold,status_or_review_bin:deprioritized_hold,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,16.447552240118966,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211926132,uncertain_hold,status_or_review_bin:hold,secondary_hold,secondary_hold,stage_f_next10_batch2_manual_review,16.723298121680273,stage_f_reject,,visual_secondary_hold,OC,2026-04-30
EPIC_211954033,candidate_like,final_candidate_status:promote_candidate_alias_check,promote_candidate_alias_check,promoted_keep_reviewing,stage_f_next10_batch2_manual_review,11.441882991133753,stage_f_planet_like,,visual_promote_candidate_alias_check,OC,2026-04-30
EPIC_211955365,uncertain_hold,status_or_review_bin:deprioritized_hold,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,13.515559290237206,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211988531,uncertain_hold,status_or_review_bin:hold,secondary_hold,secondary_hold,stage_f_next10_batch2_manual_review,14.496263978912111,stage_f_planet_like,,visual_secondary_hold,OC,2026-04-30
EPIC_212001099,planet_like,final_candidate_status:promote_primary_candidate,promote_primary_candidate,promoted_keep_reviewing,stage_f_next10_batch2_manual_review,16.325087564604473,stage_f_planet_like,,visual_promote_primary_candidate,OC,2026-04-30
