epic_id,training_label_v3,science_binary_v3,binary_eval_included_stage_h,missing_score,flux_p_science_like,stage_g_calibrated_score,stage_g_support_tier,best_period_days,final_candidate_status,stage_d_label,stage_d_quality_score,stage_d_reason
EPIC_211842439,uncertain_hold,not_science_like,TRUE,FALSE,0.660845279694,0.82419685098,strong_support,15.93678195803659,hold_low_priority_candidate,pass_deeper_eval,0.809861096264,period_support_count=14; depth_consistency=0.913; duration_consistency=1.000; validated cache-light-curve support
EPIC_212001099,planet_like,science_like,TRUE,FALSE,0.81286418438,0.779926018452,strong_support,16.325087564604473,promote_primary_candidate,pass_deeper_eval,0.696211478479,period_support_count=13; depth_consistency=0.987; duration_consistency=0.750; validated cache-light-curve support
EPIC_211534076,candidate_like,science_like,TRUE,FALSE,0.654113054276,0.703777551032,strong_support,15.221580048255191,recovered_known_unconfirmed_candidate,pass_deeper_eval,0.722606200565,period_support_count=16; depth_consistency=0.812; duration_consistency=0.957; validated cache-light-curve support
EPIC_211530033,noise_or_artifact,not_science_like,TRUE,FALSE,0.636427342892,0.666594890072,review_support,15.50762230141845,reject_manual_false_positive,pass_deeper_eval,0.796914307779,period_support_count=10; depth_consistency=0.909; duration_consistency=0.936; validated cache-light-curve support
EPIC_211396246,noise_or_artifact,not_science_like,TRUE,FALSE,0.667492508888,0.665346530446,review_support,5.0670921209678,reject_manual_false_positive,pass_deeper_eval,0.677422347678,period_support_count=8; depth_consistency=0.832; duration_consistency=0.952; validated cache-light-curve support
EPIC_211972200,binary_system,not_science_like,TRUE,FALSE,0.659851789474,0.664480287471,review_support,18.91986675386579,reject_as_planet_binary_system,pass_deeper_eval,0.768846401548,period_support_count=19; depth_consistency=0.970; duration_consistency=1.000; validated cache-light-curve support
EPIC_211525754,noise_or_artifact,not_science_like,TRUE,FALSE,0.613988161087,0.625711532653,review_support,13.198848621046864,reject_manual_false_positive,pass_deeper_eval,0.719040639868,period_support_count=14; depth_consistency=0.918; duration_consistency=0.958; validated cache-light-curve support
EPIC_211988531,uncertain_hold,not_science_like,TRUE,FALSE,0.62759912014,0.621504462203,review_support,14.496263978912111,secondary_hold,pass_deeper_eval,0.701683684703,period_support_count=13; depth_consistency=0.740; duration_consistency=0.958; validated cache-light-curve support
EPIC_211490307,noise_or_artifact,not_science_like,TRUE,FALSE,0.729034125805,0.601533082823,review_support,12.80064960272307,reject_manual_false_positive,pass_deeper_eval,0.68888120848,period_support_count=18; depth_consistency=0.842; duration_consistency=0.614; validated cache-light-curve support
EPIC_211748059,uncertain_hold,not_science_like,TRUE,FALSE,0.681613683701,0.5876390115,review_support,17.42822978276672,secondary_hold,pass_deeper_eval,0.664325621682,period_support_count=14; depth_consistency=0.893; duration_consistency=0.810; validated cache-light-curve support
EPIC_211569204,noise_or_artifact,not_science_like,TRUE,FALSE,0.685649871826,0.575083924243,review_support,14.659857875562466,reject_manual_false_positive,pass_deeper_eval,0.633857310246,period_support_count=11; depth_consistency=0.874; duration_consistency=0.794; validated cache-light-curve support
