epic_id,training_label_v3,science_binary_v3,training_label_rule,final_candidate_status,review_bin,source_batch,best_period_days,stage_f_label,stage_h_label,visual_label,reviewer,reviewed_at
EPIC_211534076,candidate_like,science_like,final_candidate_status:recovered_known_unconfirmed_candidate,recovered_known_unconfirmed_candidate,recovered_positive_control,positive_controls,15.221580048255191,stage_f_planet_like,known_unconfirmed_candidate,,,
EPIC_211889692,planet_like,science_like,final_candidate_status:recovered_known_confirmed_planet,recovered_known_confirmed_planet,recovered_positive_control,positive_controls,17.673423499920546,stage_f_planet_like,known_confirmed_planet,,,
EPIC_211490307,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,12.80064960272307,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211525754,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,13.198848621046864,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211551640,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,10.563287809098483,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211554121,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,14.057024791287404,stage_f_hold,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211555255,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_noise_or_variability,stage_f_next10_batch1,9.929781530910986,stage_f_planet_like,,visual_reject_noise_or_variability,OC,2026-04-30
EPIC_211563576,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,17.142289455598302,stage_f_hold,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211739276,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,19.164904292916617,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
EPIC_211842439,uncertain_hold,not_science_like,final_candidate_status:hold_low_priority_candidate,hold_low_priority_candidate,low_priority_candidate_hold,stage_f_next10_batch1,15.93678195803659,stage_f_planet_like,,visual_possible_candidate_low_priority,OC,2026-04-30
EPIC_211972200,binary_system,not_science_like,final_candidate_status:reject_as_planet_binary_system,reject_as_planet_binary_system,real_nonplanet_eclipsing_binary,stage_f_next10_batch1,18.91986675386579,stage_f_planet_like,,visual_reject_eclipsing_binary,OC,2026-04-30
EPIC_212003686,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_visual_review,stage_f_next10_batch1,12.44296006046352,stage_f_planet_like,,visual_reject_after_manual_review,OC,2026-04-30
